old_url,new_url
https://rescuehelicopter.org.nz/management,https://rescuehelicopter.org.nz/about-us/team
https://rescuehelicopter.org.nz/careers,https://rescuehelicopter.org.nz/contact-us
https://rescuehelicopter.org.nz/paramedics,https://rescuehelicopter.org.nz/our-stories
https://rescuehelicopter.org.nz/administration,https://rescuehelicopter.org.nz/about-us
https://rescuehelicopter.org.nz/pilots,https://rescuehelicopter.org.nz/about-us
https://rescuehelicopter.org.nz/crewmen,https://rescuehelicopter.org.nz/about-us
https://rescuehelicopter.org.nz/marketing,https://rescuehelicopter.org.nz/about-us
https://rescuehelicopter.org.nz/fundraisers,https://rescuehelicopter.org.nz/events
https://rescuehelicopter.org.nz/staff,https://rescuehelicopter.org.nz/about-us/team
https://rescuehelicopter.org.nz/our-sponsors,https://rescuehelicopter.org.nz
https://rescuehelicopter.org.nz/equipment-training,https://rescuehelicopter.org.nz
https://rescuehelicopter.org.nz/the-helicopters,https://rescuehelicopter.org.nz/about-us/helicopters
https://rescuehelicopter.org.nz/get-involved,https://rescuehelicopter.org.nz/contact-us
https://rescuehelicopter.org.nz/faqs-0,https://rescuehelicopter.org.nz
https://rescuehelicopter.org.nz/contact-us,https://rescuehelicopter.org.nz/contact-us
https://rescuehelicopter.org.nz/fusion-unlimited,https://rescuehelicopter.org.nz
https://rescuehelicopter.org.nz/code-1,https://rescuehelicopter.org.nz/news/blog
https://rescuehelicopter.org.nz/coverage-area,https://rescuehelicopter.org.nz
https://rescuehelicopter.org.nz/board-of-trustees,https://rescuehelicopter.org.nz
https://rescuehelicopter.org.nz/events/hems-ball,https://rescuehelicopter.org.nz/events
https://rescuehelicopter.org.nz/news,https://rescuehelicopter.org.nz/news/blog
https://rescuehelicopter.org.nz/standard-operating-procedures,https://rescuehelicopter.org.nz
https://rescuehelicopter.org.nz/who-we-are,https://rescuehelicopter.org.nz/about-us/team
https://rescuehelicopter.org.nz/what-we-do,https://rescuehelicopter.org.nz/about-us
https://rescuehelicopter.org.nz/events,https://rescuehelicopter.org.nz/events
https://rescuehelicopter.org.nz/products/pilot-bear,https://rescuehelicopter.org.nz
https://rescuehelicopter.org.nz/shop,https://rescuehelicopter.org.nz
https://rescuehelicopter.org.nz/products/baseball-cap,https://rescuehelicopter.org.nz
https://rescuehelicopter.org.nz/our-stories/John-Potter,https://rescuehelicopter.org.nz/our-stories
https://rescuehelicopter.org.nz/news/second-stingray-stabbing,https://rescuehelicopter.org.nz/our-stories
https://rescuehelicopter.org.nz/news/stampede-for-sparkler,https://rescuehelicopter.org.nz/our-stories
https://rescuehelicopter.org.nz/events/the-rescue-run,https://rescuehelicopter.org.nz/events
https://rescuehelicopter.org.nz/news/2015-annual-report,https://rescuehelicopter.org.nz/news/blog
https://rescuehelicopter.org.nz/news/chopper-chat-32,https://rescuehelicopter.org.nz/news/blog
https://rescuehelicopter.org.nz/news/chopper-chat-26,https://rescuehelicopter.org.nz/news/blog
https://rescuehelicopter.org.nz/news/chopper-chat-31,https://rescuehelicopter.org.nz/news/blog
https://rescuehelicopter.org.nz/news/chopper-chat-25,https://rescuehelicopter.org.nz/news/blog
https://rescuehelicopter.org.nz/events/arht-golf-day-fundraiser,https://rescuehelicopter.org.nz/events
https://rescuehelicopter.org.nz/our-stories/Jade-and-Finn,https://rescuehelicopter.org.nz/our-stories
https://rescuehelicopter.org.nz/news/chopper-chat-september-2015,https://rescuehelicopter.org.nz/news/blog
https://rescuehelicopter.org.nz/news/we-are-a-team,https://rescuehelicopter.org.nz/about-us/team
https://rescuehelicopter.org.nz/news/chopper-chat-april-2016,https://rescuehelicopter.org.nz/news/blog
https://rescuehelicopter.org.nz/events/the-great-charity-roast,https://rescuehelicopter.org.nz/events
https://rescuehelicopter.org.nz/our-stories/sapphires-crazy-day,https://rescuehelicopter.org.nz/our-stories
https://rescuehelicopter.org.nz/survey-prize-draw-terms-conditions,https://rescuehelicopter.org.nz
https://rescuehelicopter.org.nz/why-our-sponsors-are-important,https://rescuehelicopter.org.nz
https://rescuehelicopter.org.nz/news/serious-crash-near-waiuku,https://rescuehelicopter.org.nz/our-stories
https://rescuehelicopter.org.nz/events/dominion-constructors-chopper-cup,https://rescuehelicopter.org.nz/events
https://rescuehelicopter.org.nz/products/choppy-the-rescue-helicopter,https://rescuehelicopter.org.nz
https://rescuehelicopter.org.nz/events/hirepool-leigh-fishing-contest,https://rescuehelicopter.org.nz/events
